Name	Appears in	Start Page	End Page	AFTFL Refs #	ARTFL linlk	Dates Appears in the Comedy
Caron	The Vicar Of Tours::					
Carpentier	A Bachelor's Establishment::					
Carpi, Benedetto	Facino Cane::					
Carthagenova	Massimilla Doni::					
Cartier	The Seamy Side Of History::					
Cartier, Madame	The Seamy Side Of History::					
Casa-Real, Duc De	The Quest Of The Absolute::A Marriage Settlement::					
Castagnould	Modeste Mignon::					
Castanier, Madame	Melmoth Reconciled::					
Castanier, Rodolphe	Melmoth Reconciled::					
Casteran, De	The Peasantry::					
Cataneo, Duchess	See Princesse de Varese::					
Cataneo, Duke	Massimilla Doni::					
Catherine	The Government Clerks::					
Catherine	The Gondreville Mystery::					
Cavalier	The Seamy Side Of History::					
Cayron	Cesar Birotteau::					
Celestin	Scenes From A Courtesan's Life::					
Cerizet	A Man Of Business::Scenes From A Courtesan's Life::The Middle Classes::					
Cerizet, Olympe Cardinal, Madame	The Middle Classes::					
Cesarine	Jealousies Of A Country Town::					
Cesarine	A Bachelor's Establishment::					
Chabert, Hyacinthe	Colonel Chabert::					
Chabert, Madame	See Ferraud, Comtesse::					
Chaboisseau	A Man Of Business::					
Chaffaroux	The Middle Classes::					
Chamarolles, Mesdemoiselles	The Muse Of The Department::					
Champagnac	The Country Parson::					
Champignelles, De	The Seamy Side Of History::					
Champion, Maurice	The Country Parson::					
Champlain, Pierre	Gaudissart The Great::					
Chandour, Amelie De	Lost Illusions::					
Chandour, Stanislas De	Lost Illusions::					
Chanor	Cousin Pons::					
Chantonnit	Albert Savarus::					
Chapeloud, Abbe	The Vicar Of Tours::					
Chaperon, Abbe	Ursule Mirouet::					
Chapotel, Rose						
Chapoulot, Monsieur And Madame	Cousin Pons::					
Chapuzot	Cousin Betty::					
Chapuzot, Monsieur And Madame	The Imaginary Mistress::					
Chardin	Cousin Betty::					
Chardin, Elodie	Cousin Betty::					
Chardin, Pere	Cousin Betty::					
Chardon	Lost Illusions::					
Chardon, Eve	See Sechard, Madame David::					
Chardon, Lucien	See Rubempre, Chardon De::					
Chardon, Madame	Lost Illusions::Scenes From A Courtesan's Life::					
Charels, The	The Peasantry::					
Chargeboeuf, Bathilde De	See Rogron, Madame::					
Chargeboeuf, De	Scenes From A Courtesan's Life::					
Chargeboeuf, Madame De	Pierrette::					
Chargeboeuf, Marquis De	The Gondreville Mystery::					
Chargeboeuf, Melchior-Rene, Vicomte De	The Muse Of The Department::					
Chargegrain, Louis	The Seamy Side Of History::					
Charles	Father Goriot::					
Charles	The Magic Skin::					
Charles	A Woman Of Thirty::					
Charles	The Peasantry::					
Charlotte	Another Study Of Woman::					
Charlotte, Madame	Lost Illusions::					
Chatelet, Marie-Louise-Anais De Negrepelisse, Baronne Du	Lost Illusions::					
Chatelet, Sixte, Baron Du	The Thirteen::					
Chatillonest, De	Modest Mignon::					
Chaudet, Antoine-Denis	A Bachelor's Establishment::					
Chaulieu, Armande-Louise-Marie De	See Marie Gaston, Madame::					
Chaulieu, Eleonore, Duchesse De	Letters Of Two Brides::					
Chaulieu, Henri, Duc De	The Thirteen::					
Chaussard, The Brothers	The Seamy Side Of History::					
Chavoncourt, De	Albert Savarus::					
Chavoncourt, De	Albert Savarus::					
Chavoncourt, Madame De	Albert Savarus::					
Chavoncourt, Sidonie De	Albert Savarus::					
Chavoncourt, Victoire De	Albert Savarus::					
Chazelle	The Government Clerks::					
Chelius	The Seamy Side Of History::					
Chervin	The Country Parson::					
Chesnel	The Seamy Side Of History::Jealousies Of A Country Town::					
Chessel, De	The Lily Of The Valley::					
Chessel, Madame De	The Government Clerks::					
Chevrel	At The Sign Of The Cat And Racket::					
Chevrel, Monsieur And Madame	At The Sign Of The Cat And Racket::					
Chiavari, Prince De	Beatrix::					
Chiffreville, Monsieur And Madame	Cesar Birotteau::The Quest Of The Absolute::					
Chigi, Prince	Sarrasine::					
